fips,state,county,total_population,senior_population,senior_share,living_alone_65_share,disability_share,median_income,diabetes_prev,chd_prev,copd_prev,poor_physical_health_prev,healthcare_support_workers,healthcare_support_per_1k_seniors,healthcare_support_wage,wage_geo_level,wage_year,wage_source
06001,CA,Alameda County,1649473.0,254161.0,0.15408618389024858,0.21923898631182598,0.10263459905072711,129367.0,11.0,4.8,4.1,11.5,28812.0,113.36121592219105,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06003,CA,Alpine County,1616.0,341.0,0.2110148514851485,0.12609970674486803,0.11448019801980198,105521.0,11.6,7.5,6.4,13.5,19.0,55.71847507331378,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06005,CA,Amador County,41428.0,11423.0,0.27573138939847447,0.21841897925238554,0.14861929130056967,88044.0,11.8,7.8,7.1,14.4,722.0,63.205812833756454,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06007,CA,Butte County,207929.0,38227.0,0.18384640911080224,0.2686582781803437,0.16163209557108435,67928.0,10.7,6.5,6.8,14.1,5002.0,130.84992282941377,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06009,CA,Calaveras County,46248.0,13517.0,0.2922720982528974,0.2079603462306725,0.2018465663380038,78647.0,13.2,8.7,8.4,15.7,756.0,55.92957017089591,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06011,CA,Colusa County,21984.0,3410.0,0.15511280931586607,0.3712609970674487,0.1198598981077147,75672.0,13.4,6.8,6.4,16.2,306.0,89.73607038123167,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06013,CA,Contra Costa County,1165012.0,199270.0,0.1710454484589,0.22050484267576656,0.11063405355481316,127229.0,11.3,5.5,4.7,12.1,20658.0,103.66838962212074,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06015,CA,Del Norte County,27107.0,5552.0,0.20481794370457815,0.27737752161383283,0.19238573062308628,67058.0,12.5,7.7,8.1,15.9,477.0,85.91498559077809,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06017,CA,El Dorado County,192662.0,45254.0,0.23488804227092006,0.2177266098024484,0.12556186482025516,108845.0,10.8,6.8,6.0,13.3,2374.0,52.45945109824546,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06019,CA,Fresno County,1016725.0,131488.0,0.12932503872728615,0.23374756631783888,0.1314917996508397,74201.0,12.7,6.2,6.0,15.0,23699.0,180.23697980043806,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06021,CA,Glenn County,28494.0,4893.0,0.1717203621815119,0.23155528305742898,0.14202990103179616,67139.0,12.6,7.0,7.1,15.8,488.0,99.73431432658901,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06023,CA,Humboldt County,134541.0,26660.0,0.1981552091927368,0.28394598649662417,0.18734809463286284,61160.0,11.4,7.1,7.6,14.9,3211.0,120.44261065266316,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06025,CA,Imperial County,180202.0,24701.0,0.13707395034461325,0.20877697259220274,0.14264547563290086,57681.0,15.0,6.7,5.7,17.1,5083.0,205.78114246386787,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06027,CA,Inyo County,18739.0,4675.0,0.24947969475425583,0.3118716577540107,0.14445808207481722,73991.0,12.4,7.6,6.9,14.7,329.0,70.37433155080214,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06029,CA,Kern County,915075.0,108560.0,0.11863508455591072,0.22309322033898304,0.12047537087124006,70210.0,13.3,6.2,6.4,16.1,15817.0,145.69823139277818,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06031,CA,Kings County,153298.0,16584.0,0.10818145050816058,0.2212976362759286,0.11366097405054208,70995.0,12.1,5.8,5.9,15.6,3112.0,187.6507477086348,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06033,CA,Lake County,68152.0,16290.0,0.2390245333959385,0.2804788213627993,0.2140362718628947,60621.0,14.1,8.9,9.1,17.1,2219.0,136.21853898096992,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06035,CA,Lassen County,30356.0,5012.0,0.16510739227829754,0.32641660015961693,0.1421794702859402,67403.0,11.5,7.1,7.6,15.6,262.0,52.274541101356746,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06037,CA,Los Angeles County,9808667.0,1487700.0,0.15167198560212106,0.2099623580022854,0.11190990580065568,90112.0,12.6,5.3,4.9,14.1,201448.0,135.4090206358809,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06039,CA,Madera County,160940.0,23148.0,0.14382999875730085,0.20023328149300154,0.13675282714054926,76627.0,13.5,7.0,7.2,16.9,3719.0,160.6618282357007,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06041,CA,Marin County,257969.0,61345.0,0.2377998906845396,0.2904882223490097,0.0987095348665925,149091.0,10.2,6.4,5.3,12.1,2919.0,47.583340125519605,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06043,CA,Mariposa County,17082.0,5073.0,0.2969792764313312,0.2320126158091859,0.17667720407446436,68412.0,13.5,9.1,8.4,15.6,292.0,57.55962941060516,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06045,CA,Mendocino County,90244.0,22154.0,0.2454900048756704,0.3166019680418886,0.1846216923008732,68092.0,13.7,8.5,8.5,16.3,2222.0,100.29791459781529,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06047,CA,Merced County,290201.0,34001.0,0.11716362107642633,0.23199317667127436,0.12387620993725039,65510.0,13.0,6.1,6.1,16.0,5061.0,148.84856327755065,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06049,CA,Modoc County,8600.0,2722.0,0.31651162790697673,0.24504041146216018,0.17825581395348838,59455.0,14.9,10.0,9.9,17.4,186.0,68.3321087435709,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06051,CA,Mono County,13148.0,2297.0,0.17470337693945848,0.18328254244666956,0.0920292059628841,99415.0,10.5,6.3,6.0,13.5,251.0,109.27296473661298,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06053,CA,Monterey County,437613.0,65068.0,0.14868845303955777,0.2115171820249585,0.08951745034996675,97230.0,12.5,6.2,5.7,14.7,7434.0,114.24970799778693,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06055,CA,Napa County,134869.0,28455.0,0.2109825089531323,0.24132841328413285,0.1265969199741972,111471.0,11.4,6.5,5.7,13.4,2829.0,99.42013705851343,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06057,CA,Nevada County,102481.0,30033.0,0.2930592012177867,0.24619585123031332,0.14757857554083195,89882.0,11.5,7.9,7.2,14.0,1570.0,52.27582992042087,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06059,CA,Orange County,3165820.0,514824.0,0.16261947931341644,0.19588053393004212,0.09597197566507255,116289.0,11.5,5.5,4.7,12.5,52310.0,101.60753966404053,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06061,CA,Placer County,419156.0,85822.0,0.20474954432240025,0.2314441518491762,0.11656519291146972,115998.0,9.8,5.9,5.2,12.4,5639.0,65.70576309104892,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06063,CA,Plumas County,19423.0,6114.0,0.31478144467898883,0.2469741576709192,0.24481285074396333,66031.0,13.5,9.3,8.7,15.8,194.0,31.730454694144587,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06065,CA,Riverside County,2478600.0,382888.0,0.15447752763656902,0.20408579010049938,0.12038650851287017,93074.0,12.4,6.0,5.4,14.7,45653.0,119.23330059965316,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06067,CA,Sacramento County,1594006.0,243370.0,0.15267822078461435,0.2556888688005917,0.12965007659946073,92175.0,11.2,5.7,5.6,13.6,31830.0,130.78851132021202,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06069,CA,San Benito County,67290.0,9234.0,0.13722692822113242,0.1859432531947152,0.10505275672462476,114394.0,11.3,5.3,4.7,13.8,980.0,106.1295213341997,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06071,CA,San Bernardino County,2197104.0,276984.0,0.1260677692089223,0.19035395546313144,0.11997565886730897,85478.0,12.1,5.6,5.2,14.4,39901.0,144.05525228894086,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06073,CA,San Diego County,3288774.0,507734.0,0.1543839740888246,0.21617224767299412,0.10732145170206284,106268.0,10.0,5.2,4.7,11.9,53575.0,105.51784989778112,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06075,CA,San Francisco County,830235.0,146510.0,0.17646810842713206,0.2927308716128592,0.1185483628129385,140970.0,10.2,4.9,3.9,10.4,13821.0,94.33485768889494,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06077,CA,San Joaquin County,797334.0,107730.0,0.13511276328364275,0.20834493641511184,0.12486235379401857,92179.0,12.3,5.7,5.5,14.1,13431.0,124.67279309384573,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06079,CA,San Luis Obispo County,281555.0,62338.0,0.2214061195858713,0.24485867368218422,0.13029781037452717,97446.0,10.0,6.4,5.8,13.0,3230.0,51.81430267252719,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06081,CA,San Mateo County,742340.0,132242.0,0.17814209122504512,0.1982879871750276,0.09343831667430019,158855.0,10.6,5.2,4.0,10.9,11845.0,89.57063565281832,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06083,CA,Santa Barbara County,443701.0,73710.0,0.16612538623983267,0.24841948175281509,0.11117622002204187,98161.0,10.8,6.0,5.6,13.8,7821.0,106.1050061050061,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06085,CA,Santa Clara County,1902047.0,282010.0,0.1482665780603739,0.18585511152086806,0.0894199775294722,164281.0,10.5,4.5,3.5,10.1,31137.0,110.41097833410163,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06087,CA,Santa Cruz County,264926.0,50275.0,0.18976997350203453,0.25336648433615117,0.11469617931044895,111093.0,10.2,5.9,5.4,13.0,4548.0,90.46245648930879,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06089,CA,Shasta County,181436.0,39009.0,0.21500143301219163,0.2716039888230921,0.1794076148063229,72636.0,11.7,7.3,7.6,15.0,4173.0,106.97531338921787,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06091,CA,Sierra County,2746.0,963.0,0.3506919155134741,0.3146417445482866,0.15695557174071376,63355.0,15.3,10.3,10.2,17.5,0.0,0.0,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
06093,CA,Siskiyou County,43466.0,12101.0,0.27840150922560164,0.2648541442855962,0.17215754842865688,59095.0,13.9,9.2,9.1,16.6,666.0,55.03677382034543,41640,state,2025,"BLS OEWS annual mean wage, SOC 31-0000"
