fips,state,county,senior_share,living_alone_65_share,disability_share,median_income,diabetes_prev,chd_prev,copd_prev,poor_physical_health_prev,healthcare_support_per_1k_seniors,healthcare_support_wage
06001,CA,Alameda County,0.15408618389024858,0.8980466735430634,0.10263459905072711,129367.0,11.0,4.8,4.1,11.5,113.36121592219105,39650
06003,CA,Alpine County,0.2110148514851485,1.0,0.11448019801980198,105521.0,11.6,7.5,6.4,13.5,55.71847507331378,39650
06005,CA,Amador County,0.27573138939847447,0.8907533023920029,0.14861929130056967,88044.0,11.8,7.8,7.1,14.4,63.205812833756454,39650
06007,CA,Butte County,0.18384640911080224,0.8986699334966748,0.16163209557108435,67928.0,10.7,6.5,6.8,14.1,130.84992282941377,39650
06009,CA,Calaveras County,0.2922720982528974,0.9219416202033454,0.2018465663380038,78647.0,13.2,8.7,8.4,15.7,55.92957017089591,39650
06011,CA,Colusa County,0.15511280931586607,0.9686304514154552,0.1198598981077147,75672.0,13.4,6.8,6.4,16.2,89.73607038123167,39650
06013,CA,Contra Costa County,0.1710454484589,0.9021290574250108,0.11063405355481316,127229.0,11.3,5.5,4.7,12.1,103.66838962212074,39650
06015,CA,Del Norte County,0.20481794370457815,0.9378806333739342,0.19238573062308628,67058.0,12.5,7.7,8.1,15.9,85.91498559077809,39650
06017,CA,El Dorado County,0.23488804227092006,0.8902240693892303,0.12556186482025516,108845.0,10.8,6.8,6.0,13.3,52.45945109824546,39650
06019,CA,Fresno County,0.12932503872728615,0.917106794378301,0.1314917996508397,74201.0,12.7,6.2,6.0,15.0,180.23697980043806,39650
06021,CA,Glenn County,0.1717203621815119,0.950503355704698,0.14202990103179616,67139.0,12.6,7.0,7.1,15.8,99.73431432658901,39650
06023,CA,Humboldt County,0.1981552091927368,0.860618462937699,0.18734809463286284,61160.0,11.4,7.1,7.6,14.9,120.44261065266316,39650
06025,CA,Imperial County,0.13707395034461325,0.9594418604651163,0.14264547563290086,57681.0,15.0,6.7,5.7,17.1,205.78114246386787,39650
06027,CA,Inyo County,0.24947969475425583,0.9504563233376793,0.14445808207481722,73991.0,12.4,7.6,6.9,14.7,70.37433155080214,39650
06029,CA,Kern County,0.11863508455591072,0.9171084519842472,0.12047537087124006,70210.0,13.3,6.2,6.4,16.1,145.69823139277818,39650
06031,CA,Kings County,0.10818145050816058,0.9340799185543395,0.11366097405054208,70995.0,12.1,5.8,5.9,15.6,187.6507477086348,39650
06033,CA,Lake County,0.2390245333959385,0.8422119815668203,0.2140362718628947,60621.0,14.1,8.9,9.1,17.1,136.21853898096992,39650
06035,CA,Lassen County,0.16510739227829754,0.9506101104009297,0.1421794702859402,67403.0,11.5,7.1,7.6,15.6,52.274541101356746,39650
06037,CA,Los Angeles County,0.15167198560212106,0.8995717572926536,0.11190990580065568,90112.0,12.6,5.3,4.9,14.1,135.4090206358809,39650
06039,CA,Madera County,0.14382999875730085,0.8551660516605166,0.13675282714054926,76627.0,13.5,7.0,7.2,16.9,160.6618282357007,39650
06041,CA,Marin County,0.2377998906845396,0.8803043027219286,0.0987095348665925,149091.0,10.2,6.4,5.3,12.1,47.583340125519605,39650
06043,CA,Mariposa County,0.2969792764313312,0.9416,0.17667720407446436,68412.0,13.5,9.1,8.4,15.6,57.55962941060516,39650
06045,CA,Mendocino County,0.2454900048756704,0.8888607274109745,0.1846216923008732,68092.0,13.7,8.5,8.5,16.3,100.29791459781529,39650
06047,CA,Merced County,0.11716362107642633,0.9405031596518422,0.12387620993725039,65510.0,13.0,6.1,6.1,16.0,148.84856327755065,39650
06049,CA,Modoc County,0.31651162790697673,0.9341736694677871,0.17825581395348838,59455.0,14.9,10.0,9.9,17.4,68.3321087435709,39650
06051,CA,Mono County,0.17470337693945848,0.9767981438515081,0.0920292059628841,99415.0,10.5,6.3,6.0,13.5,109.27296473661298,39650
06053,CA,Monterey County,0.14868845303955777,0.8826962544894817,0.08951745034996675,97230.0,12.5,6.2,5.7,14.7,114.24970799778693,39650
06055,CA,Napa County,0.2109825089531323,0.8857216561331097,0.1265969199741972,111471.0,11.4,6.5,5.7,13.4,99.42013705851343,39650
06057,CA,Nevada County,0.2930592012177867,0.8798191337458353,0.14757857554083195,89882.0,11.5,7.9,7.2,14.0,52.27582992042087,39650
06059,CA,Orange County,0.16261947931341644,0.8897319616735191,0.09597197566507255,116289.0,11.5,5.5,4.7,12.5,101.60753966404053,39650
06061,CA,Placer County,0.20474954432240025,0.9188176519567027,0.11656519291146972,115998.0,9.8,5.9,5.2,12.4,65.70576309104892,39650
06063,CA,Plumas County,0.31478144467898883,0.8723281340265743,0.24481285074396333,66031.0,13.5,9.3,8.7,15.8,31.730454694144587,39650
06065,CA,Riverside County,0.15447752763656902,0.883709358213175,0.12038650851287017,93074.0,12.4,6.0,5.4,14.7,119.23330059965316,39650
06067,CA,Sacramento County,0.15267822078461435,0.9162617427923551,0.12965007659946073,92175.0,11.2,5.7,5.6,13.6,130.78851132021202,39650
