fips,state,county,total_population,senior_population,senior_share,living_alone_65_share,disability_share,median_income,diabetes_prev,chd_prev,copd_prev,poor_physical_health_prev,healthcare_support_workers,healthcare_support_per_1k_seniors,healthcare_support_wage
06037,CA,Los Angeles County,9700000,1513200,0.156,0.245,0.103,76367,9.6,5.5,5.1,12.7,23300,15.4,39650
04013,AZ,Maricopa County,4550000,778050,0.171,0.221,0.112,81722,10.8,5.7,5.8,13.9,10193,13.1,39650
12086,FL,Miami-Dade County,2700000,477900,0.177,0.269,0.111,64338,11.9,6.2,4.8,15.2,6022,12.6,39650
48113,TX,Dallas County,2600000,322400,0.124,0.216,0.101,71164,10.7,5.3,5.0,13.8,3514,10.9,39650
36061,NY,New York County,1600000,270400,0.169,0.319,0.089,99880,8.1,4.7,4.1,10.1,6003,22.2,39650
17031,IL,Cook County,5100000,790500,0.155,0.288,0.107,76940,10.5,5.9,5.4,13.9,11700,14.8,39650
26163,MI,Wayne County,1750000,280000,0.160,0.301,0.151,57557,13.8,7.8,8.9,18.8,2716,9.7,39650
42101,PA,Philadelphia County,1550000,223200,0.144,0.314,0.159,56678,13.2,7.4,8.2,18.2,2544,11.4,39650
37119,NC,Mecklenburg County,1150000,138000,0.120,0.198,0.090,78964,9.1,4.8,4.7,11.4,1615,11.7,39650
25025,MA,Suffolk County,770000,95480,0.124,0.293,0.104,82475,8.7,4.9,5.0,11.5,1795,18.8,39650
39035,OH,Cuyahoga County,1240000,224440,0.181,0.306,0.143,62315,12.4,7.1,8.4,17.5,3097,13.8,39650
47037,TN,Davidson County,715000,90090,0.126,0.236,0.109,70455,10.5,5.8,6.3,15.1,946,10.5,39650
53033,WA,King County,2300000,326600,0.142,0.249,0.085,115409,7.6,4.2,3.8,9.0,5748,17.6,39650
08031,CO,Denver County,715000,87945,0.123,0.257,0.093,85653,7.7,4.3,4.6,10.3,1091,12.4,39650
24510,MD,Baltimore City,570000,81510,0.143,0.312,0.161,58457,13.5,7.5,7.8,18.9,823,10.1,39650
18097,IN,Marion County,970000,131920,0.136,0.262,0.128,62124,11.8,6.4,7.0,16.3,1306,9.9,39650
29510,MO,St. Louis City,280000,38360,0.137,0.308,0.158,54410,12.9,7.2,8.6,18.8,349,9.1,39650
55079,WI,Milwaukee County,930000,135780,0.146,0.284,0.125,62926,11.3,6.2,6.5,15.0,1629,12.0,39650
12011,FL,Broward County,1950000,388050,0.199,0.271,0.115,70016,11.5,6.0,5.2,14.0,5316,13.7,39650
32003,NV,Clark County,2350000,383050,0.163,0.235,0.116,70663,10.9,5.8,6.1,14.1,4137,10.8,39650
