fips,state,county,total_population,senior_population,senior_share,living_alone_65_share,disability_share,median_income,diabetes_prev,chd_prev,copd_prev,poor_physical_health_prev,healthcare_support_workers,healthcare_support_per_1k_seniors,healthcare_support_wage,senior_share_score,living_alone_65_share_score,disability_share_score,diabetes_prev_score,chd_prev_score,copd_prev_score,poor_physical_health_prev_score,healthcare_support_per_1k_seniors_score,median_income_score,healthcare_support_wage_score,care_demand_score,access_constraint_score,care_gap_score,priority_tier,high_gap
29085,MO,Hickory County,8585.0,2777.0,0.3234711706464764,0.3172488296723082,0.2450786255096098,39390.0,19.7,13.1,16.0,21.0,212.0,76.34137558516385,39650,31.513659371951103,28.063168629794887,25.80498160166978,76.58227848101266,100.0,100.0,96.63865546218489,21.522714774085003,2.5172499921945737,50.0,54.570979852110725,79.90733187659488,63.43870306068018,Prioritize,1
48243,TX,Jeff Davis County,1865.0,632.0,0.3388739946380697,0.4193037974683544,0.1689008042895442,59286.0,21.2,12.3,11.6,18.2,0.0,0.0,39650,33.64598269221435,41.79580893344487,14.08352995740209,86.07594936708861,91.11111111111111,64.8,73.109243697479,0.0,18.046926223110308,50.0,49.007203422118614,87.08592213306692,62.33475497095052,Prioritize,1
29153,MO,Ozark County,8873.0,2603.0,0.2933618843683083,0.2558586246638494,0.2415192155978812,44163.0,18.3,12.0,14.9,20.3,65.0,24.97118709181713,39650,27.34541507321333,19.802428150866845,25.257296586605786,67.7215189873418,87.77777777777777,91.2,90.75630252100842,7.040058333084851,6.242779980642543,50.0,48.603737236867325,86.75513392261057,61.95672607687746,Prioritize,1
48385,TX,Real County,2802.0,1062.0,0.3790149892933618,0.2495291902071563,0.3379728765167737,39605.0,18.3,10.5,11.0,17.8,63.0,59.32203389830509,39650,39.202988280849134,18.950731770020386,40.098583778416305,67.7215189873418,71.11111111111111,60.0,69.74789915966389,16.724498420748255,2.6850666583408787,50.0,47.521126517210284,82.4960058710862,59.76233429106685,Prioritize,1
26135,MI,Oscoda County,8425.0,2474.0,0.2936498516320475,0.2829426030719482,0.2262314540059347,49515.0,16.5,11.2,13.5,18.6,58.0,23.443815683104283,39650,27.385280445451478,23.44688115009314,22.904974672180998,56.329113924050645,78.88888888888889,80.0,76.47058823529413,6.609450698210016,10.420244153735677,50.0,44.1132063231364,85.73872886986379,58.68213921449099,Prioritize,1
12119,FL,Sumter County,143408.0,82722.0,0.576829744505188,0.2025579652329489,0.1774377998438022,76508.0,16.0,12.1,10.1,15.6,723.0,8.740117501994632,39650,66.58790262256726,12.630226740988359,15.397114134186152,53.16455696202532,88.88888888888889,52.800000000000004,51.26050420168068,2.4640773714847257,31.489431452745947,50.0,46.23232749888679,81.69792800985962,58.64528767772728,Prioritize,1
26131,MI,Ontonagon County,5850.0,2236.0,0.3822222222222222,0.2661001788908765,0.2188034188034188,54398.0,16.5,11.6,12.4,17.3,93.0,41.59212880143113,39650,39.64698852206839,21.180544115110365,21.762025792261156,56.329113924050645,83.33333333333334,71.2,65.54621848739497,11.725954872814425,14.231633831839897,50.0,45.08210048071379,81.7812346704001,57.92679744710399,Prioritize,1
48405,TX,San Augustine County,7874.0,2111.0,0.2680975361950724,0.2126954050213169,0.2178054356108712,50408.0,20.9,11.9,14.1,20.1,150.0,71.05637138796779,39650,23.84789028097758,13.994332940029864,21.608466507604728,84.17721518987341,86.66666666666667,84.8,89.07563025210086,20.03272802647656,11.117268725217771,50.0,46.85476702363392,78.14681896787256,57.806985204117446,Prioritize,1
48109,TX,Culberson County,2195.0,641.0,0.2920273348519362,0.4555382215288611,0.2328018223234624,58777.0,19.3,8.7,8.0,18.1,0.0,0.0,39650,27.160663818679787,46.67155700312519,23.915954682969804,74.05063291139243,51.11111111111111,36.0,72.26890756302524,0.0,17.649630022791847,50.0,41.91715560028556,87.20511099316245,57.767939987792474,Prioritize,1
12055,FL,Highlands County,105702.0,38051.0,0.3599837278386407,0.246484980683819,0.226457399103139,54897.0,18.3,11.7,11.0,17.5,1397.0,36.71388399779244,39650,36.56835435683121,18.5410992426114,22.939740756176615,67.7215189873418,84.44444444444444,60.0,67.22689075630252,10.350644686141784,14.621124605825969,50.0,44.45048704564371,82.42080804087423,57.74009939397439,Prioritize,1
26069,MI,Iosco County,25347.0,7872.0,0.3105692981417919,0.3163109756097561,0.2019962914743362,50066.0,15.9,10.9,12.7,18.0,258.0,32.77439024390244,39650,29.727560690838,27.936969849113442,19.175919664366283,52.53164556962027,75.55555555555557,73.6,71.42857142857144,9.239994009895106,10.85032314465016,50.0,42.769196838324504,84.16290635116265,57.25699516781785,Prioritize,1
26119,MI,Montmorency County,9516.0,3152.0,0.3312316099201345,0.2887055837563452,0.2451660361496427,49756.0,16.5,11.2,12.9,18.0,196.0,62.18274111675127,39650,32.587992601217344,24.222354823984915,25.818431442764343,56.329113924050645,78.88888888888889,75.2,71.42857142857144,17.53100976591124,10.608354928346186,50.0,45.128695086606044,79.67543815024497,57.22005515887967,Prioritize,1
29015,MO,Benton County,20151.0,6322.0,0.3137313284700511,0.2404302435937994,0.2454965014143218,52567.0,16.7,10.9,12.4,18.0,227.0,35.906358747231884,39650,30.165303212079998,17.726366472751774,25.869280004169852,57.594936708860764,75.55555555555557,71.2,71.42857142857144,10.12298130560317,12.802460270379967,50.0,42.95204314406552,83.09162220080427,57.000895813924075,Prioritize,1
48327,TX,Menard County,1955.0,653.0,0.3340153452685422,0.2419601837672281,0.2680306905370844,53043.0,17.6,10.3,9.8,17.0,11.0,16.84532924961715,39650,32.97336503708304,17.932237078970463,29.336606896891105,63.29113924050635,68.8888888888889,50.4,63.025210084033624,4.749157503857194,13.173998563801556,50.0,41.361022021837435,85.93576380373808,56.96218164550267,Prioritize,1
26143,MI,Roscommon County,23737.0,8192.0,0.3451152209630534,0.2772216796875,0.2410582634705312,55246.0,15.7,10.7,12.0,17.1,252.0,30.76171875,39650,34.51000038449384,22.677066757516254,25.186370062526724,51.26582278481013,73.33333333333333,68.0,63.86554621848741,8.672567052165354,14.893533984826252,50.0,42.71280435591933,83.26202792586119,56.90503260539898,Prioritize,1
26085,MI,Lake County,12563.0,3423.0,0.2724667674918411,0.2754893368390301,0.2376024834832444,50805.0,17.2,10.9,13.4,19.0,186.0,54.338299737072745,39650,24.452754284540106,22.443960601741647,24.654630543524302,60.75949367088608,75.55555555555557,79.2,79.83193277310924,15.319447908625797,11.427144150613506,50.0,43.945406970056226,80.64616040507177,56.79067067231166,Prioritize,1
29223,MO,Wayne County,10862.0,2731.0,0.2514269931872583,0.3372391065543756,0.2937764684220217,47226.0,17.4,11.1,14.3,20.0,310.0,113.5115342365434,39650,21.540067531304235,30.75308454393657,33.29809970003338,62.0253164556962,77.77777777777779,86.4,88.23529411764707,32.001995722706035,8.633582066252458,50.0,48.101438339535335,72.30882773263595,56.57402462712055,Prioritize,1
26001,MI,Alcona County,10397.0,3843.0,0.3696258536116187,0.2792089513400989,0.2295854573434644,54993.0,16.0,11.0,11.9,17.0,194.0,50.48139474368983,39650,37.903182934620176,22.94447644251385,23.421053857774872,53.16455696202532,76.66666666666667,67.2,63.025210084033624,14.232081255260736,14.696056698616877,50.0,43.607321342859656,80.26353830002154,56.43699727786631,Prioritize,1
48127,TX,Dimmit County,8380.0,1358.0,0.1620525059665871,0.2039764359351988,0.2305489260143198,38808.0,23.4,9.9,9.4,21.4,52.0,38.291605301914586,39650,9.167316700598056,12.821097879904327,23.56930240643806,100.0,64.44444444444444,47.2,100.0,10.795447329024963,2.0629741796496925,50.0,40.093298782867215,85.94361171514137,56.140908309163166,Prioritize,1
12017,FL,Citrus County,162472.0,59271.0,0.3648074745186863,0.2494980681952388,0.2123996750209267,56546.0,15.8,11.1,11.1,17.1,1920.0,32.393582021561976,39650,37.236140182503014,18.946543954332242,20.77668423370015,51.8987341772152,77.77777777777779,60.8,63.86554621848741,9.132633791530727,15.908239408036467,50.0,41.74055930286366,82.70457959224717,56.07796640414789,Prioritize,1
